train_number,class_type,amount
13346,3A,640.0
13346,2A,800.0
13346,1A,1200.0
13502,SL,400.0
13502,3A,640.0
13502,2A,800.0
13502,1A,1200.0
13504,SL,400.0
13504,3A,640.0
13504,2A,800.0
13504,1A,1200.0
13506,SL,400.0
13506,3A,640.0
13506,2A,800.0
13506,1A,1200.0
13507,SL,400.0
13507,3A,640.0
13507,2A,800.0
13507,1A,1200.0
13509,SL,400.0
13509,3A,640.0
13509,2A,800.0
13509,1A,1200.0
13510,SL,400.0
13510,3A,640.0
13510,2A,800.0
13510,1A,1200.0
14001,SL,400.0
14001,3A,640.0
14001,2A,800.0
14001,1A,1200.0
14002,SL,400.0
14002,3A,640.0
14002,2A,800.0
14002,1A,1200.0
14004,SL,400.0
14004,3A,640.0
14004,2A,800.0
14004,1A,1200.0
14005,SL,400.0
14005,3A,640.0
14005,2A,800.0
14005,1A,1200.0
14006,SL,400.0
14006,3A,640.0
14006,2A,800.0
14006,1A,1200.0
14007,SL,400.0
14007,3A,640.0
14007,2A,800.0
14007,1A,1200.0
14008,SL,400.0
14008,3A,640.0
14008,2A,800.0
14008,1A,1200.0
14009,SL,400.0
14009,3A,640.0
14009,2A,800.0
14009,1A,1200.0
14010,SL,400.0
14010,3A,640.0
14010,2A,800.0
14010,1A,1200.0
14011,SL,400.0
14011,3A,640.0
14011,2A,800.0
14011,1A,1200.0
14012,SL,400.0
14012,3A,640.0
14012,2A,800.0
14012,1A,1200.0
14013,SL,400.0
14013,3A,640.0
14013,2A,800.0
14013,1A,1200.0
14014,SL,400.0
14014,3A,640.0
14014,2A,800.0
14014,1A,1200.0
14015,SL,400.0
14015,3A,640.0
14015,2A,800.0
14015,1A,1200.0
14016,SL,400.0
14016,3A,640.0
14016,2A,800.0
14016,1A,1200.0
14017,SL,400.0
14017,3A,640.0
14017,2A,800.0
14017,1A,1200.0
14018,SL,400.0
14018,3A,640.0
14018,2A,800.0
14018,1A,1200.0
14020,SL,400.0
14020,3A,640.0
14020,2A,800.0
14020,1A,1200.0
14033,SL,400.0
14033,3A,640.0
14033,2A,800.0
14033,1A,1200.0
14034,SL,400.0
14034,3A,640.0
14034,2A,800.0
14034,1A,1200.0
14035,SL,400.0
14035,3A,640.0
14035,2A,800.0
14035,1A,1200.0
14036,SL,400.0
14036,3A,640.0
14036,2A,800.0
14036,1A,1200.0
14037,SL,400.0
14037,3A,640.0
14037,2A,800.0
14037,1A,1200.0
14038,SL,400.0
14038,3A,640.0
14038,2A,800.0
14038,1A,1200.0
14041-Slip,SL,400.0
14041-Slip,3A,640.0
14041-Slip,2A,800.0
14041-Slip,1A,1200.0
14042,SL,400.0
14042,3A,640.0
14042,2A,800.0
14042,1A,1200.0
14043,SL,400.0
14043,3A,640.0
14043,2A,800.0
14043,1A,1200.0
14044,SL,400.0
14044,3A,640.0
14044,2A,800.0
14044,1A,1200.0
14056,SL,400.0
14056,3A,640.0
14056,2A,800.0
14056,1A,1200.0
14083,SL,400.0
14083,3A,640.0
14083,2A,800.0
14083,1A,1200.0
14084,SL,400.0
14084,3A,640.0
14084,2A,800.0
14084,1A,1200.0
14085,SL,400.0
14085,3A,640.0
14085,2A,800.0
14085,1A,1200.0
14086,SL,400.0
14086,3A,640.0
14086,2A,800.0
14086,1A,1200.0
14095,SL,400.0
14095,3A,640.0
14095,2A,800.0
14095,1A,1200.0
14096,SL,400.0
14096,3A,640.0
14096,2A,800.0
14096,1A,1200.0
14096-Slip,SL,400.0
14096-Slip,3A,640.0
14096-Slip,2A,800.0
14096-Slip,1A,1200.0
14109,SL,400.0
14109,3A,640.0
14109,2A,800.0
14109,1A,1200.0
14110,SL,400.0
14110,3A,640.0
14110,2A,800.0
14110,1A,1200.0
14114,SL,400.0
14114,3A,640.0
14114,2A,800.0
14114,1A,1200.0
40057,SL,400.0
40057,3A,640.0
40057,2A,800.0
40057,1A,1200.0
51672,SL,400.0
51672,3A,640.0
51672,2A,800.0
51672,1A,1200.0
12343,SL,400.0
12343,3A,640.0
12343,2A,800.0
12343,1A,1200.0
12483,SL,400.0
12483,3A,640.0
12483,2A,800.0
12483,1A,1200.0
14119,SL,400.0
14119,3A,640.0
14119,2A,800.0
14119,1A,1200.0
14120,SL,400.0
14120,3A,640.0
14120,2A,800.0
14120,1A,1200.0
14123,SL,400.0
14123,3A,640.0
14123,2A,800.0
14123,1A,1200.0
14124,SL,400.0
14124,3A,640.0
14124,2A,800.0
14124,1A,1200.0
14126,SL,400.0
14126,3A,640.0
14126,2A,800.0
14126,1A,1200.0
14163,SL,400.0
14163,3A,640.0
14163,2A,800.0
14163,1A,1200.0
14163-Slip,SL,400.0
14163-Slip,3A,640.0
14163-Slip,2A,800.0
14163-Slip,1A,1200.0
14164,SL,400.0
14164,3A,640.0
14164,2A,800.0
14164,1A,1200.0
14201,SL,400.0
14201,3A,640.0
14201,2A,800.0
14201,1A,1200.0
14203,SL,400.0
14203,3A,640.0
14203,2A,800.0
14203,1A,1200.0
14204,SL,400.0
14204,3A,640.0
14204,2A,800.0
14204,1A,1200.0
14205,SL,400.0
14205,3A,640.0
14205,2A,800.0
14205,1A,1200.0
14206,SL,400.0
14206,3A,640.0
14206,2A,800.0
14206,1A,1200.0
14207,SL,400.0
14207,3A,640.0
14207,2A,800.0
14207,1A,1200.0
14208,SL,400.0
14208,3A,640.0
14208,2A,800.0
14208,1A,1200.0
14210,SL,400.0
14210,3A,640.0
14210,2A,800.0
14210,1A,1200.0
14211,SL,400.0
14211,3A,640.0
14211,2A,800.0
14211,1A,1200.0
14212,SL,400.0
14212,3A,640.0
14212,2A,800.0
14212,1A,1200.0
14213,SL,400.0
14213,3A,640.0
14213,2A,800.0
14213,1A,1200.0
14214,SL,400.0
14214,3A,640.0
14214,2A,800.0
14214,1A,1200.0
14215,SL,400.0
14215,3A,640.0
14215,2A,800.0
14215,1A,1200.0
14216,SL,400.0
14216,3A,640.0
14216,2A,800.0
14216,1A,1200.0
14217,SL,400.0
14217,3A,640.0
14217,2A,800.0
14217,1A,1200.0
14227,SL,400.0
14227,3A,640.0
14227,2A,800.0
14227,1A,1200.0
14228,SL,400.0
14228,3A,640.0
14228,2A,800.0
14228,1A,1200.0
14235,SL,400.0
14235,3A,640.0
14235,2A,800.0
14235,1A,1200.0
14236,SL,400.0
14236,3A,640.0
14236,2A,800.0
14236,1A,1200.0
14257,SL,400.0
14257,3A,640.0
14257,2A,800.0
14257,1A,1200.0
14258,SL,400.0
14258,3A,640.0
14258,2A,800.0
14258,1A,1200.0
14259,SL,400.0
14259,3A,640.0
14259,2A,800.0
14259,1A,1200.0
14265,SL,400.0
14265,3A,640.0
14265,2A,800.0
14265,1A,1200.0
14265-Slip,SL,400.0
14265-Slip,3A,640.0
14265-Slip,2A,800.0
14265-Slip,1A,1200.0
14266,SL,400.0
14266,3A,640.0
14266,2A,800.0
14266,1A,1200.0
14307,SL,400.0
14307,3A,640.0
14307,2A,800.0
14307,1A,1200.0
14308,SL,400.0
14308,3A,640.0
14308,2A,800.0
14308,1A,1200.0
14309,SL,400.0
14309,3A,640.0
14309,2A,800.0
14309,1A,1200.0
14310,SL,400.0
14310,3A,640.0
14310,2A,800.0
14310,1A,1200.0
14311,SL,400.0
14311,3A,640.0
14311,2A,800.0
14311,1A,1200.0
14314,SL,400.0
14314,3A,640.0
14314,2A,800.0
14314,1A,1200.0
14315,SL,400.0
14315,3A,640.0
14315,2A,800.0
14315,1A,1200.0
14316,SL,400.0
14316,3A,640.0
14316,2A,800.0
14316,1A,1200.0
14317,SL,400.0
14317,3A,640.0
14317,2A,800.0
14317,1A,1200.0
14318,SL,400.0
14318,3A,640.0
14318,2A,800.0
14318,1A,1200.0
14321,SL,400.0
14321,3A,640.0
14321,2A,800.0
14321,1A,1200.0
19131,SL,400.0
19131,3A,640.0
19131,2A,800.0
19131,1A,1200.0
40107,SL,400.0
40107,3A,640.0
40107,2A,800.0
40107,1A,1200.0
40555,SL,400.0
40555,3A,640.0
40555,2A,800.0
40555,1A,1200.0
14322,SL,400.0
14322,3A,640.0
14322,2A,800.0
14322,1A,1200.0
14323,SL,400.0
14323,3A,640.0
14323,2A,800.0
14323,1A,1200.0
14324,SL,400.0
14324,3A,640.0
14324,2A,800.0
14324,1A,1200.0
14369,SL,400.0
14369,3A,640.0
14369,2A,800.0
14369,1A,1200.0
14370,SL,400.0
14370,3A,640.0
14370,2A,800.0
14370,1A,1200.0
14370-Slip,SL,400.0
14370-Slip,3A,640.0
14370-Slip,2A,800.0
14370-Slip,1A,1200.0
14511-Slip,SL,400.0
14511-Slip,3A,640.0
14511-Slip,2A,800.0
14511-Slip,1A,1200.0
14512,SL,400.0
14512,3A,640.0
14512,2A,800.0
14512,1A,1200.0
14519,SL,400.0
14519,3A,640.0
14519,2A,800.0
14519,1A,1200.0
14520,SL,400.0
14520,3A,640.0
14520,2A,800.0
14520,1A,1200.0
14524,SL,400.0
14524,3A,640.0
14524,2A,800.0
14524,1A,1200.0
14525,SL,400.0
14525,3A,640.0
14525,2A,800.0
14525,1A,1200.0
14526,SL,400.0
14526,3A,640.0
14526,2A,800.0
14526,1A,1200.0
14545,SL,400.0
14545,3A,640.0
14545,2A,800.0
14545,1A,1200.0
14546,SL,400.0
14546,3A,640.0
14546,2A,800.0
14546,1A,1200.0
14553,SL,400.0
14553,3A,640.0
14553,2A,800.0
14553,1A,1200.0
14554,SL,400.0
14554,3A,640.0
14554,2A,800.0
14554,1A,1200.0
14555,SL,400.0
14555,3A,640.0
14555,2A,800.0
14555,1A,1200.0
14556,SL,400.0
14556,3A,640.0
14556,2A,800.0
14556,1A,1200.0
14603,SL,400.0
14603,3A,640.0
14603,2A,800.0
14603,1A,1200.0
14607,SL,400.0
14607,3A,640.0
14607,2A,800.0
14607,1A,1200.0
14608,SL,400.0
14608,3A,640.0
14608,2A,800.0
14608,1A,1200.0
14609,SL,400.0
14609,3A,640.0
14609,2A,800.0
14609,1A,1200.0
14610,SL,400.0
14610,3A,640.0
14610,2A,800.0
14610,1A,1200.0
14629,SL,400.0
14629,3A,640.0
14629,2A,800.0
14629,1A,1200.0
14630,SL,400.0
14630,3A,640.0
14630,2A,800.0
14630,1A,1200.0
14631,SL,400.0
14631,3A,640.0
14631,2A,800.0
14631,1A,1200.0
14632,SL,400.0
14632,3A,640.0
14632,2A,800.0
14632,1A,1200.0
14633,SL,400.0
14633,3A,640.0
14633,2A,800.0
14633,1A,1200.0
14634,SL,400.0
14634,3A,640.0
14634,2A,800.0
14634,1A,1200.0
14645,SL,400.0
14645,3A,640.0
14645,2A,800.0
14645,1A,1200.0
14646,SL,400.0
14646,3A,640.0
14646,2A,800.0
14646,1A,1200.0
14650,SL,400.0
14650,3A,640.0
14650,2A,800.0
14650,1A,1200.0
14659-Slip,SL,400.0
14659-Slip,3A,640.0
14659-Slip,2A,800.0
14659-Slip,1A,1200.0
14660,SL,400.0
14660,3A,640.0
14660,2A,800.0
14660,1A,1200.0
14661,SL,400.0
14661,3A,640.0
14661,2A,800.0
14661,1A,1200.0
14662,SL,400.0
14662,3A,640.0
14662,2A,800.0
14662,1A,1200.0
14673,SL,400.0
14673,3A,640.0
14673,2A,800.0
14673,1A,1200.0
14674,SL,400.0
14674,3A,640.0
14674,2A,800.0
14674,1A,1200.0
14681,SL,400.0
14681,3A,640.0
14681,2A,800.0
14681,1A,1200.0
14682,SL,400.0
14682,3A,640.0
14682,2A,800.0
14682,1A,1200.0
14701,SL,400.0
14701,3A,640.0
14701,2A,800.0
14701,1A,1200.0
14702,SL,400.0
14702,3A,640.0
14702,2A,800.0
14702,1A,1200.0
14703,SL,400.0
14703,3A,640.0
14703,2A,800.0
14703,1A,1200.0
14704,SL,400.0
14704,3A,640.0
14704,2A,800.0
14704,1A,1200.0
14705,SL,400.0
14705,3A,640.0
14705,2A,800.0
14705,1A,1200.0
14706,SL,400.0
14706,3A,640.0
14706,2A,800.0
14706,1A,1200.0
15011,SL,400.0
15011,3A,640.0
15011,2A,800.0
15011,1A,1200.0
15012,SL,400.0
15012,3A,640.0
15012,2A,800.0
15012,1A,1200.0
13103,SL,400.0
13103,3A,640.0
13103,2A,800.0
13103,1A,1200.0
13245,SL,400.0
13245,3A,640.0
13245,2A,800.0
13245,1A,1200.0
14708,SL,400.0
14708,3A,640.0
14708,2A,800.0
14708,1A,1200.0
14711,SL,400.0
14711,3A,640.0
14711,2A,800.0
14711,1A,1200.0
14712,SL,400.0
14712,3A,640.0
14712,2A,800.0
14712,1A,1200.0
14723,SL,400.0
14723,3A,640.0
14723,2A,800.0
14723,1A,1200.0
14724,SL,400.0
14724,3A,640.0
14724,2A,800.0
14724,1A,1200.0
14731,SL,400.0
14731,3A,640.0
14731,2A,800.0
14731,1A,1200.0
14732,SL,400.0
14732,3A,640.0
14732,2A,800.0
14732,1A,1200.0
14795,SL,400.0
14795,3A,640.0
14795,2A,800.0
14795,1A,1200.0
14796,SL,400.0
14796,3A,640.0
14796,2A,800.0
14796,1A,1200.0
14801,SL,400.0
14801,3A,640.0
14801,2A,800.0
14801,1A,1200.0
14802,SL,400.0
14802,3A,640.0
14802,2A,800.0
14802,1A,1200.0
14809,SL,400.0
14809,3A,640.0
14809,2A,800.0
14809,1A,1200.0
14810,SL,400.0
14810,3A,640.0
14810,2A,800.0
14810,1A,1200.0
14853,SL,400.0
14853,3A,640.0
14853,2A,800.0
14853,1A,1200.0
14854,SL,400.0
14854,3A,640.0
14854,2A,800.0
14854,1A,1200.0
14863,SL,400.0
14863,3A,640.0
14863,2A,800.0
14863,1A,1200.0
14864,SL,400.0
14864,3A,640.0
14864,2A,800.0
14864,1A,1200.0
14865,SL,400.0
14865,3A,640.0
14865,2A,800.0
14865,1A,1200.0
14866,SL,400.0
14866,3A,640.0
14866,2A,800.0
14866,1A,1200.0
14887-Slip,SL,400.0
14887-Slip,3A,640.0
14887-Slip,2A,800.0
14887-Slip,1A,1200.0
14887S,SL,400.0
14887S,3A,640.0
14887S,2A,800.0
14887S,1A,1200.0
14888,SL,400.0
14888,3A,640.0
14888,2A,800.0
14888,1A,1200.0
14889,SL,400.0
14889,3A,640.0
14889,2A,800.0
14889,1A,1200.0
14890,SL,400.0
14890,3A,640.0
14890,2A,800.0
14890,1A,1200.0
15001,SL,400.0
15001,3A,640.0
15001,2A,800.0
15001,1A,1200.0
15002,SL,400.0
15002,3A,640.0
15002,2A,800.0
15002,1A,1200.0
15004,SL,400.0
15004,3A,640.0
15004,2A,800.0
15004,1A,1200.0
15005,SL,400.0
15005,3A,640.0
15005,2A,800.0
15005,1A,1200.0
15006,SL,400.0
15006,3A,640.0
15006,2A,800.0
15006,1A,1200.0
15007,SL,400.0
15007,3A,640.0
15007,2A,800.0
15007,1A,1200.0
15009,SL,400.0
15009,3A,640.0
15009,2A,800.0
15009,1A,1200.0
15010,SL,400.0
15010,3A,640.0
15010,2A,800.0
15010,1A,1200.0
15013,SL,400.0
15013,3A,640.0
15013,2A,800.0
15013,1A,1200.0
15013-Slip,SL,400.0
15013-Slip,3A,640.0
15013-Slip,2A,800.0
15013-Slip,1A,1200.0
15014,SL,400.0
15014,3A,640.0
15014,2A,800.0
15014,1A,1200.0
15016,SL,400.0
15016,3A,640.0
15016,2A,800.0
15016,1A,1200.0
15018,SL,400.0
15018,3A,640.0
15018,2A,800.0
15018,1A,1200.0
15018-Slip,SL,400.0
15018-Slip,3A,640.0
15018-Slip,2A,800.0
15018-Slip,1A,1200.0
15019,SL,400.0
15019,3A,640.0
15019,2A,800.0
15019,1A,1200.0
15020,SL,400.0
15020,3A,640.0
15020,2A,800.0
15020,1A,1200.0
15021,SL,400.0
15021,3A,640.0
15021,2A,800.0
15021,1A,1200.0
15022,SL,400.0
15022,3A,640.0
15022,2A,800.0
15022,1A,1200.0
15023,SL,400.0
15023,3A,640.0
15023,2A,800.0
15023,1A,1200.0
15035,SL,400.0
15035,3A,640.0
15035,2A,800.0
15035,1A,1200.0
15035-Slip,SL,400.0
15035-Slip,3A,640.0
15035-Slip,2A,800.0
15035-Slip,1A,1200.0
15236,SL,400.0
15236,3A,640.0
15236,2A,800.0
15236,1A,1200.0
41057,SL,400.0
41057,3A,640.0
41057,2A,800.0
41057,1A,1200.0
41501,SL,400.0
41501,3A,640.0
41501,2A,800.0
41501,1A,1200.0
14649,SL,400.0
14649,3A,640.0
14649,2A,800.0
14649,1A,1200.0
15003,SL,400.0
15003,3A,640.0
15003,2A,800.0
15003,1A,1200.0
15008,SL,400.0
15008,3A,640.0
15008,2A,800.0
15008,1A,1200.0
15027,SL,400.0
15027,3A,640.0
15027,2A,800.0
15027,1A,1200.0
15028,SL,400.0
15028,3A,640.0
15028,2A,800.0
15028,1A,1200.0
15037,SL,400.0
15037,3A,640.0
15037,2A,800.0
15037,1A,1200.0
15038,SL,400.0
15038,3A,640.0
15038,2A,800.0
15038,1A,1200.0
15039,SL,400.0
15039,3A,640.0
15039,2A,800.0
15039,1A,1200.0
15040,SL,400.0
15040,3A,640.0
15040,2A,800.0
15040,1A,1200.0
15041,SL,400.0
15041,3A,640.0
15041,2A,800.0
15041,1A,1200.0
15042,SL,400.0
15042,3A,640.0
15042,2A,800.0
15042,1A,1200.0
15045,SL,400.0
15045,3A,640.0
15045,2A,800.0
15045,1A,1200.0
15046,SL,400.0
15046,3A,640.0
15046,2A,800.0
15046,1A,1200.0
15047,SL,400.0
15047,3A,640.0
15047,2A,800.0
15047,1A,1200.0
15048,SL,400.0
15048,3A,640.0
15048,2A,800.0
15048,1A,1200.0
15049,SL,400.0
15049,3A,640.0
15049,2A,800.0
15049,1A,1200.0
15050,SL,400.0
15050,3A,640.0
15050,2A,800.0
15050,1A,1200.0
15051,SL,400.0
15051,3A,640.0
15051,2A,800.0
15051,1A,1200.0
15052,SL,400.0
15052,3A,640.0
15052,2A,800.0
15052,1A,1200.0
15097,SL,400.0
15097,3A,640.0
15097,2A,800.0
15097,1A,1200.0
15098,SL,400.0
15098,3A,640.0
15098,2A,800.0
15098,1A,1200.0
15101,SL,400.0
15101,3A,640.0
15101,2A,800.0
15101,1A,1200.0
15102,SL,400.0
15102,3A,640.0
15102,2A,800.0
15102,1A,1200.0
15103,SL,400.0
15103,3A,640.0
15103,2A,800.0
15103,1A,1200.0
15104,SL,400.0
15104,3A,640.0
15104,2A,800.0
15104,1A,1200.0
15105,SL,400.0
15105,3A,640.0
15105,2A,800.0
15105,1A,1200.0
15106,SL,400.0
15106,3A,640.0
15106,2A,800.0
15106,1A,1200.0
15107,SL,400.0
15107,3A,640.0
15107,2A,800.0
15107,1A,1200.0
15108,SL,400.0
15108,3A,640.0
15108,2A,800.0
15108,1A,1200.0
15109,SL,400.0
15109,3A,640.0
15109,2A,800.0
15109,1A,1200.0
15110,SL,400.0
15110,3A,640.0
15110,2A,800.0
15110,1A,1200.0
15159,SL,400.0
15159,3A,640.0
15159,2A,800.0
15159,1A,1200.0
15160,SL,400.0
15160,3A,640.0
15160,2A,800.0
15160,1A,1200.0
15201,SL,400.0
15201,3A,640.0
15201,2A,800.0
15201,1A,1200.0
15203,SL,400.0
15203,3A,640.0
15203,2A,800.0
15203,1A,1200.0
15209,SL,400.0
15209,3A,640.0
15209,2A,800.0
15209,1A,1200.0
15210,SL,400.0
15210,3A,640.0
15210,2A,800.0
15210,1A,1200.0
15211,SL,400.0
15211,3A,640.0
15211,2A,800.0
15211,1A,1200.0
15215,SL,400.0
15215,3A,640.0
15215,2A,800.0
15215,1A,1200.0
15216,SL,400.0
15216,3A,640.0
15216,2A,800.0
15216,1A,1200.0
15228,SL,400.0
15228,3A,640.0
15228,2A,800.0
15228,1A,1200.0
15267,SL,400.0
15267,3A,640.0
15267,2A,800.0
15267,1A,1200.0
15273,SL,400.0
15273,3A,640.0
15273,2A,800.0
15273,1A,1200.0
15274,SL,400.0
15274,3A,640.0
15274,2A,800.0
15274,1A,1200.0
15283,SL,400.0
15283,3A,640.0
15283,2A,800.0
15283,1A,1200.0
15284,SL,400.0
15284,3A,640.0
15284,2A,800.0
15284,1A,1200.0
15320,SL,400.0
15320,3A,640.0
15320,2A,800.0
15320,1A,1200.0
15322,SL,400.0
15322,3A,640.0
15322,2A,800.0
15322,1A,1200.0
15902,SL,400.0
15902,3A,640.0
15902,2A,800.0
15902,1A,1200.0
15204,SL,400.0
15204,3A,640.0
15204,2A,800.0
15204,1A,1200.0
15269,SL,400.0
15269,3A,640.0
15269,2A,800.0
15269,1A,1200.0
15272,SL,400.0
15272,3A,640.0
15272,2A,800.0
15272,1A,1200.0
15275,SL,400.0
15275,3A,640.0
15275,2A,800.0
15275,1A,1200.0
15276,SL,400.0
15276,3A,640.0
15276,2A,800.0
15276,1A,1200.0
15279,SL,400.0
15279,3A,640.0
15279,2A,800.0
15279,1A,1200.0
15280,SL,400.0
15280,3A,640.0
15280,2A,800.0
15280,1A,1200.0
15281,SL,400.0
15281,3A,640.0
15281,2A,800.0
15281,1A,1200.0
15282,SL,400.0
15282,3A,640.0
15282,2A,800.0
15282,1A,1200.0
15307,SL,400.0
15307,3A,640.0
15307,2A,800.0
15307,1A,1200.0
15308,SL,400.0
15308,3A,640.0
15308,2A,800.0
15308,1A,1200.0
15308-Slip,SL,400.0
15308-Slip,3A,640.0
15308-Slip,2A,800.0
15308-Slip,1A,1200.0
15309,SL,400.0
15309,3A,640.0
15309,2A,800.0
15309,1A,1200.0
15310,SL,400.0
15310,3A,640.0
15310,2A,800.0
15310,1A,1200.0
15311,SL,400.0
15311,3A,640.0
15311,2A,800.0
15311,1A,1200.0
15312,SL,400.0
15312,3A,640.0
15312,2A,800.0
15312,1A,1200.0
15313,SL,400.0
15313,3A,640.0
15313,2A,800.0
15313,1A,1200.0
15314,SL,400.0
15314,3A,640.0
15314,2A,800.0
15314,1A,1200.0
15315,SL,400.0
15315,3A,640.0
15315,2A,800.0
15315,1A,1200.0
15316,SL,400.0
15316,3A,640.0
15316,2A,800.0
15316,1A,1200.0
15319,SL,400.0
15319,3A,640.0
15319,2A,800.0
15319,1A,1200.0
15321,SL,400.0
15321,3A,640.0
15321,2A,800.0
15321,1A,1200.0
15603,SL,400.0
15603,3A,640.0
15603,2A,800.0
15603,1A,1200.0
15604,SL,400.0
15604,3A,640.0
15604,2A,800.0
15604,1A,1200.0
15606,SL,400.0
15606,3A,640.0
15606,2A,800.0
15606,1A,1200.0
15609,SL,400.0
15609,3A,640.0
15609,2A,800.0
15609,1A,1200.0
15609-Slip,SL,400.0
15609-Slip,3A,640.0
15609-Slip,2A,800.0
15609-Slip,1A,1200.0
15610,SL,400.0
15610,3A,640.0
15610,2A,800.0
15610,1A,1200.0
15611,SL,400.0
15611,3A,640.0
15611,2A,800.0
15611,1A,1200.0
15612,SL,400.0
15612,3A,640.0
15612,2A,800.0
15612,1A,1200.0
15620,SL,400.0
15620,3A,640.0
15620,2A,800.0
15620,1A,1200.0
15629,SL,400.0
15629,3A,640.0
15629,2A,800.0
15629,1A,1200.0
15630,SL,400.0
15630,3A,640.0
15630,2A,800.0
15630,1A,1200.0
15631,SL,400.0
15631,3A,640.0
15631,2A,800.0
15631,1A,1200.0
15632,SL,400.0
15632,3A,640.0
15632,2A,800.0
15632,1A,1200.0
15635,SL,400.0
15635,3A,640.0
15635,2A,800.0
15635,1A,1200.0
15636,SL,400.0
15636,3A,640.0
15636,2A,800.0
15636,1A,1200.0
15639,SL,400.0
15639,3A,640.0
15639,2A,800.0
15639,1A,1200.0
15643,SL,400.0
15643,3A,640.0
15643,2A,800.0
15643,1A,1200.0
15644,SL,400.0
15644,3A,640.0
15644,2A,800.0
15644,1A,1200.0
15669,SL,400.0
15669,3A,640.0
15669,2A,800.0
15669,1A,1200.0
15670,SL,400.0
15670,3A,640.0
15670,2A,800.0
15670,1A,1200.0
15691,SL,400.0
15691,3A,640.0
15691,2A,800.0
15691,1A,1200.0
15714,SL,400.0
15714,3A,640.0
15714,2A,800.0
15714,1A,1200.0
15743,SL,400.0
15743,3A,640.0
15743,2A,800.0
15743,1A,1200.0
15771,SL,400.0
15771,3A,640.0
15771,2A,800.0
15771,1A,1200.0
15772,SL,400.0
15772,3A,640.0
15772,2A,800.0
15772,1A,1200.0
22602,SL,400.0
22602,3A,640.0
22602,2A,800.0
22602,1A,1200.0
51631,SL,400.0
51631,3A,640.0
51631,2A,800.0
51631,1A,1200.0
13508,SL,400.0
13508,3A,640.0
13508,2A,800.0
13508,1A,1200.0
15645,SL,400.0
15645,3A,640.0
15645,2A,800.0
15645,1A,1200.0
15646,SL,400.0
15646,3A,640.0
15646,2A,800.0
15646,1A,1200.0
15647,SL,400.0
15647,3A,640.0
15647,2A,800.0
15647,1A,1200.0
15648,SL,400.0
15648,3A,640.0
15648,2A,800.0
15648,1A,1200.0
15652,SL,400.0
15652,3A,640.0
15652,2A,800.0
15652,1A,1200.0
15654,SL,400.0
15654,3A,640.0
15654,2A,800.0
15654,1A,1200.0
15658,SL,400.0
15658,3A,640.0
15658,2A,800.0
15658,1A,1200.0
15661,SL,400.0
15661,3A,640.0
15661,2A,800.0
15661,1A,1200.0
15662,SL,400.0
15662,3A,640.0
15662,2A,800.0
15662,1A,1200.0
15665,SL,400.0
15665,3A,640.0
15665,2A,800.0
15665,1A,1200.0
15666,SL,400.0
15666,3A,640.0
15666,2A,800.0
15666,1A,1200.0
15667,SL,400.0
15667,3A,640.0
15667,2A,800.0
15667,1A,1200.0
15668,SL,400.0
15668,3A,640.0
15668,2A,800.0
15668,1A,1200.0
15692,SL,400.0
15692,3A,640.0
15692,2A,800.0
15692,1A,1200.0
15693,SL,400.0
15693,3A,640.0
15693,2A,800.0
15693,1A,1200.0
15694,SL,400.0
15694,3A,640.0
15694,2A,800.0
15694,1A,1200.0
15695,SL,400.0
15695,3A,640.0
15695,2A,800.0
15695,1A,1200.0
15696,SL,400.0
15696,3A,640.0
15696,2A,800.0
15696,1A,1200.0
15713,SL,400.0
15713,3A,640.0
15713,2A,800.0
15713,1A,1200.0
15715,SL,400.0
15715,3A,640.0
15715,2A,800.0
15715,1A,1200.0
15716,SL,400.0
15716,3A,640.0
15716,2A,800.0
15716,1A,1200.0
15716-Slip,SL,400.0
15716-Slip,3A,640.0
15716-Slip,2A,800.0
15716-Slip,1A,1200.0
15717,SL,400.0
15717,3A,640.0
15717,2A,800.0
15717,1A,1200.0
15719,SL,400.0
15719,3A,640.0
15719,2A,800.0
15719,1A,1200.0
15720,SL,400.0
15720,3A,640.0
15720,2A,800.0
15720,1A,1200.0
15721,SL,400.0
15721,3A,640.0
15721,2A,800.0
15721,1A,1200.0
15722,SL,400.0
15722,3A,640.0
15722,2A,800.0
15722,1A,1200.0
15723,SL,400.0
15723,3A,640.0
15723,2A,800.0
15723,1A,1200.0
15724,SL,400.0
15724,3A,640.0
15724,2A,800.0
15724,1A,1200.0
15764,SL,400.0
15764,3A,640.0
15764,2A,800.0
15764,1A,1200.0
15765,SL,400.0
15765,3A,640.0
15765,2A,800.0
15765,1A,1200.0
15766,SL,400.0
15766,3A,640.0
15766,2A,800.0
15766,1A,1200.0
15767,SL,400.0
15767,3A,640.0
15767,2A,800.0
15767,1A,1200.0
15768,SL,400.0
15768,3A,640.0
15768,2A,800.0
15768,1A,1200.0
15769,SL,400.0
15769,3A,640.0
15769,2A,800.0
15769,1A,1200.0
15770,SL,400.0
15770,3A,640.0
15770,2A,800.0
15770,1A,1200.0
15903,SL,400.0
15903,3A,640.0
15903,2A,800.0
15903,1A,1200.0
15904,SL,400.0
15904,3A,640.0
15904,2A,800.0
15904,1A,1200.0
16053,SL,400.0
16053,3A,640.0
16053,2A,800.0
16053,1A,1200.0
16054,SL,400.0
16054,3A,640.0
16054,2A,800.0
16054,1A,1200.0
16057,SL,400.0
16057,3A,640.0
16057,2A,800.0
